ano;mes;mes_nome;mes_ordem;produto;volume_barris;dispendio_usd_fob;unidade_volume;unidade_dispendio
2016;OUT;Outubro;10;GLP;1509975,6919295834;40513400,0;b;US$ FOB
2016;NOV;Novembro;11;GLP;1402832,4248462503;39279503,0;b;US$ FOB
2016;DEZ;Dezembro;12;GLP;1051026,852189583;31841666,0;b;US$ FOB
2017;JAN;Janeiro;1;GLP;1296214,3455033335;40581273,0;b;US$ FOB
2017;FEV;Fevereiro;2;GLP;3389494,2890833328;107332782,0;b;US$ FOB
2017;MAR;Março;3;GLP;1017986,5714162502;28068765,0;b;US$ FOB
2017;ABR;Abril;4;GLP;637086,0354925;20758259,0;b;US$ FOB
2017;MAI;Maio;5;GLP;951185,4278141666;31281884,0;b;US$ FOB
2017;JUN;Junho;6;GLP;2907597,385212083;101796898,0;b;US$ FOB
2017;JUL;Julho;7;GLP;2517244,6663920833;88576291,0;b;US$ FOB
2017;AGO;Agosto;8;GLP;3007280,629981667;101706807,0;b;US$ FOB
2017;SET;Setembro;9;GLP;2842660,3042866667;99765464,0;b;US$ FOB
2017;OUT;Outubro;10;GLP;1281575,5533762502;48770363,0;b;US$ FOB
2017;NOV;Novembro;11;GLP;709217,13218375;31861774,0;b;US$ FOB
2017;DEZ;Dezembro;12;GLP;153252,75891875;7679310,0;b;US$ FOB
2018;JAN;Janeiro;1;GLP;3135637,5802725;140558144,0;b;US$ FOB
2018;FEV;Fevereiro;2;GLP;3298176,9473970835;138343683,0;b;US$ FOB
2018;MAR;Março;3;GLP;2343434,6776062497;100087559,0;b;US$ FOB
2018;ABR;Abril;4;GLP;1869493,5515804167;70402531,0;b;US$ FOB
2018;MAI;Maio;5;GLP;1078962,4735754167;46159438,0;b;US$ FOB
2018;JUN;Junho;6;GLP;1556823,3476625;62861327,0;b;US$ FOB
2018;JUL;Julho;7;GLP;2194016,047849584;96434416,0;b;US$ FOB
2018;AGO;Agosto;8;GLP;4392623,827917917;198426816,0;b;US$ FOB
2018;SET;Setembro;9;GLP;1348556,9934704169;67709129,0;b;US$ FOB
2018;OUT;Outubro;10;GLP;1382287,4669454168;67921274,0;b;US$ FOB
2018;NOV;Novembro;11;GLP;2997223,668180417;150438819,0;b;US$ FOB
2018;DEZ;Dezembro;12;GLP;2022968,1630366663;93278851,0;b;US$ FOB
2019;JAN;Janeiro;1;GLP;2926847,0752470833;106793850,0;b;US$ FOB
