ano;mes;mes_nome;mes_ordem;produto;unidade;volume_barris
2007;MAR;Março;3;COQUE;b;2469447,094032231
2007;ABR;Abril;4;COQUE;b;1105406,1238933944
2007;MAI;Maio;5;COQUE;b;1268952,0640551157
2007;JUN;Junho;6;COQUE;b;1964958,7430055193
2007;JUL;Julho;7;COQUE;b;1141981,508144962
2007;AGO;Agosto;8;COQUE;b;1919240,333692702
2007;SET;Setembro;9;COQUE;b;1775281,5331872404
2007;OUT;Outubro;10;COQUE;b;1439269,2386933942
2007;NOV;Novembro;11;COQUE;b;2038974,499485221
2007;DEZ;Dezembro;12;COQUE;b;1481513,3021116732
2008;JAN;Janeiro;1;COQUE;b;1715807,363835471
2008;FEV;Fevereiro;2;COQUE;b;1785113,2924434904
2008;MAR;Março;3;COQUE;b;1334360,1429750868
2008;ABR;Abril;4;COQUE;b;2434017,5075342595
2008;MAI;Maio;5;COQUE;b;2498904,034199452
2008;JUN;Junho;6;COQUE;b;1961266,0016024138
2008;JUL;Julho;7;COQUE;b;1646857,166318212
2008;AGO;Agosto;8;COQUE;b;1759357,3369592119
2008;SET;Setembro;9;COQUE;b;2411224,941600433
2008;OUT;Outubro;10;COQUE;b;1622930,7169824233
2008;NOV;Novembro;11;COQUE;b;2056522,7367510386
2008;DEZ;Dezembro;12;COQUE;b;1014188,4567631058
2009;JAN;Janeiro;1;COQUE;b;2397669,2882378944
2009;FEV;Fevereiro;2;COQUE;b;1003065,3995138557
2009;MAR;Março;3;COQUE;b;2259634,182455662
2009;ABR;Abril;4;COQUE;b;1161532,6083995001
2009;MAI;Maio;5;COQUE;b;1925300,3358077214
2009;JUN;Junho;6;COQUE;b;1047176,2422527694
2009;JUL;Julho;7;COQUE;b;1974943,580512644
2009;AGO;Agosto;8;COQUE;b;2140684,966759077
2009;SET;Setembro;9;COQUE;b;1388165,7783096058
2009;OUT;Outubro;10;COQUE;b;1927968,2736292118
2009;NOV;Novembro;11;COQUE;b;1274639,062293452
2009;DEZ;Dezembro;12;COQUE;b;2169975,353967077
2010;JAN;Janeiro;1;COQUE;b;1346333,8305
2010;FEV;Fevereiro;2;COQUE;b;1972195,5262362794
2010;MAR;Março;3;COQUE;b;1556049,479889933
2010;ABR;Abril;4;COQUE;b;1585444,912972827
