year,month_name,period,vol_import_bbl,dispendio_importacao_usd_fob,custo_prod_c1_usd,custo_prod_c2_usd,lucro_liquido_incremental_c1_usd,lucro_liquido_incremental_c2_usd
2019,Junho,2019-06,11790461.707233276,833060964,235809234.14466554,294761542.6808319,597251729.8553342,538299421.3191682
2019,Julho,2019-07,25299407.84223733,1649265256,505988156.8447466,632485196.0559332,1143277099.1552534,1016780059.9440672
2019,Agosto,2019-08,17344958.709387988,1122746479,346899174.18775976,433623967.7346997,775847304.8122402,689122511.2652998
2019,Setembro,2019-09,17860255.466372844,1195407999,357205109.3274569,446506386.65932107,838202889.6725429,748901612.3406793
2019,Outubro,2019-10,22577192.28222578,1430599451,451543845.64451563,564429807.0556445,979055605.3554844,866169643.9443551
2019,Novembro,2019-11,22697475.51612654,1589375166,453949510.3225308,567436887.9031634,1135425655.677469,1021938278.0968367
2019,Dezembro,2019-12,13130765.39698105,817573285,262615307.93962097,328269134.9245262,554957977.060379,489304150.07547385
2020,Janeiro,2020-01,18631602.788412362,1223846034,372632055.76824725,465790069.710309,851213978.231753,758055964.289691
2020,Fevereiro,2020-02,15640407.78967782,1000570464,312808155.7935564,391010194.7419455,687762308.2064435,609560269.2580541
2020,Março,2020-03,14459614.620500008,804888114,289192292.41000015,361490365.51250017,515695821.58999974,443397748.4874995
2020,Abril,2020-04,15513699.675904414,618574912,310273993.5180883,387842491.89761037,308300918.48191166,230732420.10238966
2020,Maio,2020-05,12464285.33762046,382087723,249285706.7524092,311607133.44051147,132802016.24759093,70480589.55948852
2020,Junho,2020-06,13129148.919786898,418481368,262582978.39573798,328228722.9946725,155898389.60426214,90252645.00532743
2020,Julho,2020-07,12479377.061040495,513829797,249587541.22080988,311984426.52601236,264242255.77919024,201845370.47398743
2020,Agosto,2020-08,13964486.67741071,605557070,279289733.5482142,349112166.93526775,326267336.4517858,256444903.06473216
2020,Setembro,2020-09,15421677.469348626,663802735,308433549.38697255,385541936.73371565,355369185.6130272,278260798.2662843
2020,Outubro,2020-10,15257598.081526939,679421754,305151961.63053876,381439952.0381735,374269792.3694612,297981801.9618265
2020,Novembro,2020-11,17180455.327508535,708520780,343609106.5501707,429511383.1877134,364911673.4498292,279009396.8122866
2020,Dezembro,2020-12,13634360.050763989,699839698,272687201.01527977,340859001.2690997,427152496.98472005,358980696.7309001
2021,Janeiro,2021-01,19494167.624686144,968170632,389883352.4937229,487354190.6171536,578287279.506277,480816441.3828462
2021,Fevereiro,2021-02,12529420.005573118,660342534,250588400.11146235,313235500.13932794,409754133.88853765,347107033.860672
2021,Março,2021-03,15493262.027268192,920237972,309865240.54536384,387331550.6817048,610372731.4546362,532906421.31829506
2021,Abril,2021-04,20032874.910824902,1237643834,400657498.216498,500821872.77062255,836986335.7835021,736821961.2293776
2021,Maio,2021-05,18226814.2968775,1138158993,364536285.93755,455670357.42193747,773622707.0624498,682488635.5780628
2021,Junho,2021-06,19000797.000772044,1215763000,380015940.0154409,475019925.0193011,835747059.9845593,740743074.9806987
2021,Julho,2021-07,17355804.91340273,1176837128,347116098.2680546,433895122.8350682,829721029.7319455,742942005.1649313
2021,Agosto,2021-08,25684584.67841434,1809550260,513691693.56828684,642114616.9603585,1295858566.4317133,1167435643.0396411
2021,Setembro,2021-09,17549233.040297702,1273837225,350984660.80595404,438730826.00744253,922852564.1940457,835106398.9925578
2021,Outubro,2021-10,25523097.355141126,2038541525,510461947.10282254,638077433.8785281,1528079577.8971782,1400464091.1214721
2021,Novembro,2021-11,17942065.649049643,1519207158,358841312.98099285,448551641.2262411,1160365845.0190074,1070655516.7737589
2021,Dezembro,2021-12,17816089.72580948,1442742948,356321794.51618963,445402243.145237,1086421153.4838104,997340704.8547635
2022,Janeiro,2022-01,18219827.63504028,1581815933,364396552.7008056,455495690.87600696,1217419380.2991946,1126320242.123993
2022,Fevereiro,2022-02,8327571.009025782,724390827,166551420.18051565,208189275.22564456,557839406.8194845,516201551.7743555
2022,Março,2022-03,16023835.137099553,1549985116,320476702.74199104,400595878.4274888,1229508413.2580092,1149389237.5725112
2022,Abril,2022-04,20798260.52106106,2443159654,415965210.4212212,519956513.02652645,2027194443.578779,1923203140.973474
2022,Maio,2022-05,25783622.560673036,2848512277,515672451.2134607,644590564.0168259,2332839825.786539,2203921712.9831743
2022,Junho,2022-06,14083145.056499686,1748677259,281662901.12999374,352078626.41249216,1467014357.8700063,1396598632.5875082
2022,Julho,2022-07,23026337.268468514,2668545266,460526745.3693703,575658431.7117128,2208018520.63063,2092886834.288287
2022,Agosto,2022-08,24412400.475457042,2884343149,488248009.50914085,610310011.8864261,2396095139.4908595,2274033137.113574
2022,Setembro,2022-09,24785239.349393163,2827161995,495704786.98786324,619630983.7348291,2331457208.012137,2207531011.265171
2022,Outubro,2022-10,19600511.309805527,2365358541,392010226.19611055,490012782.74513817,1973348314.8038898,1875345758.2548616
2022,Novembro,2022-11,14270763.152972495,1506727461,285415263.0594499,356769078.8243124,1221312197.9405499,1149958382.1756873
2022,Dezembro,2022-12,29252737.1233273,2726972161,585054742.466546,731318428.0831825,2141917418.533454,1995653732.9168177
2023,Janeiro,2023-01,15816665.525502818,1505470339,316333310.5100564,395416638.13757044,1189137028.4899433,1110053700.8624296
2023,Fevereiro,2023-02,18416555.637659583,1740288089,368331112.75319165,460413890.9414896,1371956976.2468083,1279874198.0585105
2023,Março,2023-03,21918092.05848303,2054514189,438361841.1696606,547952301.4620757,1616152347.83034,1506561887.5379243
2023,Abril,2023-04,16650086.827705692,1318429980,333001736.55411386,416252170.69264233,985428243.4458861,902177809.3073575
2023,Maio,2023-05,20154023.84742944,1568081438,403080476.9485888,503850596.185736,1165000961.0514114,1064230841.8142642
2023,Junho,2023-06,16846951.5712018,1342672528,336939031.424036,421173789.28004503,1005733496.5759636,921498738.719955
2023,Julho,2023-07,17924141.76672307,1403552178,358482835.3344614,448103544.16807675,1045069342.6655385,955448633.8319235
2023,Agosto,2023-08,19950319.82153678,1755312721,399006396.4307356,498757995.5384195,1356306324.569265,1256554725.4615805
2023,Setembro,2023-09,17011656.32238325,1554701251,340233126.44766504,425291408.0595813,1214468124.5523353,1129409842.9404187
2023,Outubro,2023-10,15649235.872864053,1582108692,312984717.45728105,391230896.82160133,1269123974.542719,1190877795.1783984
2023,Novembro,2023-11,14500461.671671858,1296681607,290009233.43343717,362511541.79179645,1006672373.5665632,934170065.2082036
2023,Dezembro,2023-12,20885940.812849827,1886043146,417718816.2569965,522148520.3212457,1468324329.7430036,1363894625.6787543
2024,Janeiro,2024-01,18581206.986941174,1501218388,371624139.7388235,464530174.6735293,1129594248.2611768,1036688213.3264709
2024,Fevereiro,2024-02,14209937.60418696,1149207927,284198752.08373916,355248440.104674,865009174.9162606,793959486.8953259
2024,Março,2024-03,19649388.789629668,1718376063,392987775.79259336,491234719.7407417,1325388287.2074068,1227141343.2592583
2024,Abril,2024-04,17805586.905434076,1420267687,356111738.1086815,445139672.6358519,1064155948.8913186,975128014.3641486
2024,Maio,2024-05,19159443.90044375,1451684404,383188878.008875,478986097.5110938,1068495525.9911245,972698306.4889061
2024,Junho,2024-06,19515954.92461697,1480525712,390319098.4923394,487898873.1154243,1090206613.5076604,992626838.8845755
2024,Julho,2024-07,19238028.138292383,1494016467,384760562.7658477,480950703.4573096,1109255904.2341526,1013065763.5426906
2024,Agosto,2024-08,20373731.027411975,1630919350,407474620.54823947,509343275.6852994,1223444729.4517605,1121576074.3147008
2024,Setembro,2024-09,20052457.49559633,1517563345,401049149.9119266,501311437.38990825,1116514195.0880737,1016251907.6100918
2024,Outubro,2024-10,18705294.1991146,1453754827,374105883.98229194,467632354.977865,1079648943.017708,986122472.0221351
2024,Novembro,2024-11,13121927.58551035,1040682852,262438551.71020702,328048189.6377588,778244300.2897928,712634662.362241
2024,Dezembro,2024-12,15731353.085727671,1145314554,314627061.7145534,393283827.14319175,830687492.2854462,752030726.8568081
2025,Janeiro,2025-01,19974276.033368208,1570096505,399485520.6673641,499356900.8342052,1170610984.3326359,1070739604.1657953
2025,Fevereiro,2025-02,15736031.75141858,1214773692,314720635.0283716,393400793.78546447,900053056.9716283,821372898.2145356
2025,Março,2025-03,18317974.82368975,1310654099,366359496.47379506,457949370.5922438,944294602.5262052,852704728.4077564
2025,Abril,2025-04,17053055.53312792,1257509282,341061110.6625584,426326388.32819796,916448171.3374418,831182893.6718013
2025,Maio,2025-05,20625840.659813926,1409329606,412516813.1962785,515646016.49534816,996812792.8037213,893683589.5046519
2025,Junho,2025-06,16504387.98285462,1204067205,330087759.6570924,412609699.5713655,873979445.3429073,791457505.4286345
2025,Julho,2025-07,21772859.83188731,1729035313,435457196.63774616,544321495.7971827,1293578116.3622537,1184713817.2028172
2025,Agosto,2025-08,15908433.942972124,1223711360,318168678.8594425,397710848.5743031,905542681.1405575,826000511.4256968
2025,Setembro,2025-09,22210263.555904005,1613675038,444205271.1180801,555256588.8976002,1169469766.8819196,1058418449.1024003
2025,Outubro,2025-10,20466316.930534795,1578222081,409326338.6106959,511657923.26336986,1168895742.389304,1066564157.7366303
2025,Novembro,2025-11,19731001.606626958,1560494700,394620032.13253915,493275040.165674,1165874667.867461,1067219659.8343261
2025,Dezembro,2025-12,22873074.205887336,1584453754,457461484.1177467,571826855.1471834,1126992269.8822534,1012626898.852817
2026,Janeiro,2026-01,18459446.2552126,1265149563,369188925.10425204,461486156.380315,895960637.895748,803663406.6196848
2026,Fevereiro,2026-02,18175560.749100413,1407290204,363511214.9820083,454389018.72751033,1043778989.0179918,952901185.2724895
2026,Março,2026-03,17727454.236259315,1556590216,354549084.7251863,443186355.9064829,1202041131.2748134,1113403860.093517
2026,Abril,2026-04,14122829.59347873,1656959350,282456591.8695746,353070739.83696824,1374502758.1304257,1303888610.163032
2026,Maio,2026-05,17759814.92576423,1998673278,355196298.5152846,443995373.14410573,1643476979.4847157,1554677904.8558943
2026,Junho,2026-06,13507676.847697971,1302281785,270153536.9539594,337691921.1924493,1032128248.046041,964589863.8075507
