year,month,month_name,period,vol_import_bbl,spend_import_usd_fob,price_import_usd_bbl,vol_national_bbl,vol_total_bbl,wac_c1_usd_bbl,wac_c2_usd_bbl,diff_wac_minus_20,diff_wac_minus_25,foregone_revenue_c1_usd,foregone_revenue_c2_usd
2014,11,Novembro,2014-11,15786727.369035855,1505458513,95.36229250102917,64327431.181890056,80114158.55092591,34.850358377826744,38.865093871865504,14.850358377826744,13.865093871865504,1189723965.6192827,1110790328.774104
2014,12,Dezembro,2014-12,21829734.55645546,2019214855,92.49836958749829,66121119.477539875,87950854.03399533,37.99436948342953,41.753350575982786,17.99436948342953,16.753350575982786,1582620163.8708906,1473471491.0886135
2015,1,Janeiro,2015-01,14725126.421549933,1209056660,82.108406093585,58785886.20194733,73511012.62349726,32.44104929220728,36.43949007706166,12.441049292207282,11.439490077061663,914554131.5690012,840928499.4612516
2015,2,Fevereiro,2015-02,17089829.235156305,1242945133,72.7301084110939,53284624.12774508,70374453.36290139,32.805052192020625,36.590845301700014,12.805052192020625,11.590845301700014,901148548.2968737,815699402.1210923
2015,3,Março,2015-03,18761172.59681983,1058697292,56.43023038866226,60866282.49169971,79627455.08851954,28.5833942489284,32.40533496171625,8.5833942489284,7.40533496171625,683473840.063603,589667977.0795043
2015,4,Abril,2015-04,14363914.659480486,797970380,55.55382351658033,59680796.97224995,74044711.63173044,26.897077124837406,30.927128404466867,6.897077124837406,5.927128404466867,510692086.8103902,438872513.5129877
2015,5,Maio,2015-05,13863656.617451413,837680967,60.42280114941225,64134139.33898076,77997795.95643216,27.184918852886604,31.2961978033075,7.184918852886604,6.2961978033075,560407834.650972,491089551.5637148
2015,6,Junho,2015-06,15012212.511960207,943261505,62.83294379482738,62787299.20393498,77799511.71589519,28.265055147247423,32.300253943431315,8.265055147247423,7.300253943431315,643017254.7607957,567956192.2009946
2015,7,Julho,2015-07,14007865.45893106,835375362,59.636164014367075,64281825.90182566,78289691.36075673,27.091841124560695,31.197223633071093,7.091841124560695,6.1972236330710935,555218052.8213787,485178725.5267234
2015,8,Agosto,2015-08,4458744.880145063,202609924,45.441021957149566,62744807.12193837,67203552.00208344,21.68793200683175,26.356197690168933,1.6879320068317512,1.3561976901689334,113435026.39709865,91141301.99637336
2015,9,Setembro,2015-09,9657600.75433741,542243259,56.14678767461664,61593835.72093026,71251436.47526768,24.899427452728283,29.221714747406917,4.899427452728283,4.221714747406917,349091243.91325176,300803240.14156467
2015,10,Outubro,2015-10,10970253.029928574,586012850,53.418353104642605,61130307.17919029,72100560.20911887,25.084673244398203,29.323912648495014,5.0846732443982035,4.323912648495014,366607789.40142846,311756524.2517854
2015,11,Novembro,2015-11,18887719.553918976,1004817104,53.199492989693,56358254.52295912,75245974.0768781,28.33350515578357,32.07844003199226,8.33350515578357,7.078440031992258,627062712.9216205,532624115.15202564
2015,12,Dezembro,2015-12,10003870.527901363,449607246,44.943329159050975,58527801.67391887,68531672.20182024,23.641087798166186,27.91121574000009,3.641087798166186,2.9112157400000918,249529835.4419725,199510482.80246583
2016,1,Janeiro,2016-01,3759252.971664985,151557009,40.315724997053046,60109469.51292569,63868722.48459068,21.195764477442403,25.901469177221546,1.1957644774424026,0.9014691772215464,76371949.5667004,57575684.70837524
2016,2,Fevereiro,2016-02,17651757.846077062,808401486,45.79722274966851,54804821.91779392,72456579.76387098,26.2846787767578,30.06658665154278,6.284678776757801,5.0665866515427815,455366329.0784587,367107539.84807354
2016,3,Março,2016-03,17009226.267321263,743970214,43.73921554734928,56987962.92061619,73997189.18793745,25.456770629868696,29.307454929233003,5.456770629868696,4.307454929233003,403785688.6535745,318739557.31696826
2016,4,Abril,2016-04,17521543.91527449,717307648,40.93860971775916,57111431.40031101,74632975.3155855,24.915746265550474,28.741898925203625,4.9157462655504744,3.7418989252036248,366876769.69451016,279269050.118138
2016,5,Maio,2016-05,15362174.439648535,619615405,40.333834733761556,56510280.27476756,71872454.7144161,24.34619796204587,28.277487111644984,4.346197962045871,3.2774871116449837,312371916.2070294,235561044.00878653
2016,6,Junho,2016-06,14529503.521464732,630393235,43.38711464357383,57386397.52049724,71915901.04196197,24.725007399579614,28.714834175650527,4.725007399579614,3.7148341756505268,339803164.57070553,267155646.96338165
2016,7,Julho,2016-07,19463368.26785411,930162370,47.790411053171375,57259532.06537687,76722900.33323097,27.049981195883444,30.781561455276744,7.0499811958834435,5.781561455276744,540895004.642918,443578163.30364746
